GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
29119,10yrs,County,23083,99.99,18.99,11.21,0.55,8.50,16.23,22.10,11.90,20.15,19.85
29121,05yrs,County,15566,67.79,5.34,0.96,2.24,0.98,15.94,11.80,16.30,12.80,10.70
29121,10yrs,County,15566,67.79,5.34,0.96,2.24,0.77,14.82,12.35,16.00,15.98,12.30
29123,05yrs,County,12226,65.51,3.64,2.00,0.26,1.23,21.04,15.60,15.60,14.25,10.80
29123,10yrs,County,12226,65.51,3.64,2.00,0.26,1.31,22.62,20.30,12.75,17.07,13.70
29125,05yrs,County,9176,100.00,2.88,0.82,0.26,1.58,14.54,13.50,15.80,16.99,12.50
29125,10yrs,County,9176,100.00,2.88,0.82,0.26,1.32,16.92,15.10,15.55,17.20,13.55
29127,05yrs,County,28781,24.77,8.96,1.36,4.86,0.84,11.73,11.90,22.40,17.26,8.20
29127,10yrs,County,28781,24.77,8.96,1.36,4.86,1.19,13.14,13.95,20.40,17.13,10.80
29129,05yrs,County,3785,100.00,2.69,0.74,0.16,2.31,10.45,11.60,18.90,10.09,16.00
29129,10yrs,County,3785,100.00,2.69,0.74,0.16,1.65,10.49,11.85,16.55,14.05,16.10
29131,05yrs,County,24748,79.78,3.98,1.39,0.38,1.11,15.56,12.70,19.40,16.87,10.30
29131,10yrs,County,24748,79.78,3.98,1.39,0.38,1.36,16.94,14.25,17.40,19.19,12.95
29133,05yrs,County,14358,32.70,26.72,1.61,23.84,1.08,20.84,24.30,11.50,25.27,14.80
29133,10yrs,County,14358,32.70,26.72,1.61,23.84,0.76,21.78,25.70,10.80,27.51,17.45
29135,05yrs,County,15607,52.70,9.27,3.75,3.72,0.90,9.21,14.70,20.50,12.01,14.90
29135,10yrs,County,15607,52.70,9.27,3.75,3.72,1.91,10.78,16.20,18.85,11.97,15.65
29137,05yrs,County,8840,100.00,5.66,0.96,2.98,0.59,13.85,10.70,12.40,13.45,9.50
29137,10yrs,County,8840,100.00,5.66,0.96,2.98,0.59,14.71,10.70,13.20,14.42,12.50
29139,05yrs,County,12236,78.51,4.85,1.41,1.63,0.93,15.43,14.70,14.00,16.27,9.20
29139,10yrs,County,12236,78.51,4.85,1.41,1.63,0.84,15.40,16.35,13.05,17.06,11.30
29141,05yrs,County,20565,100.00,4.82,1.77,0.60,0.59,15.98,21.90,13.30,23.32,20.90
29141,10yrs,County,20565,100.00,4.82,1.77,0.60,0.82,17.90,20.80,13.35,22.36,22.15
29143,05yrs,County,18956,56.86,18.86,1.13,15.74,0.57,22.32,21.20,12.10,22.20,15.10
29143,10yrs,County,18956,56.86,18.86,1.13,15.74,0.64,21.15,22.75,12.00,22.62,17.30
29145,05yrs,County,58114,64.44,12.30,4.37,0.74,3.25,12.60,12.90,20.00,13.50,12.60
29145,10yrs,County,58114,64.44,12.30,4.37,0.74,3.30,13.44,13.75,19.40,14.16,14.35
29147,05yrs,County,23370,43.43,6.37,1.29,2.41,2.39,8.39,7.70,28.60,22.03,9.20
29147,10yrs,County,23370,43.43,6.37,1.29,2.41,2.06,9.07,7.90,26.00,24.67,10.05
29149,05yrs,County,10881,80.53,4.36,1.20,0.14,0.86,21.98,16.90,14.60,23.77,17.10
29149,10yrs,County,10881,80.53,4.36,1.20,0.14,1.01,21.35,17.95,11.95,24.88,17.30
29151,05yrs,County,13878,100.00,1.61,0.61,0.20,0.11,9.44,10.10,18.90,7.39,4.70
29151,10yrs,County,13878,100.00,1.61,0.61,0.20,0.22,12.51,10.25,18.20,8.00,6.10
29153,05yrs,County,9723,100.00,3.46,1.32,0.11,0.86,21.25,17.70,11.00,29.57,14.90
29153,10yrs,County,9723,100.00,3.46,1.32,0.11,0.63,22.63,17.45,12.30,25.14,15.80
29155,05yrs,County,18296,49.27,30.36,1.86,26.67,0.91,26.19,22.20,12.70,27.39,12.90
29155,10yrs,County,18296,49.27,30.36,1.86,26.67,0.87,25.24,23.75,12.05,28.10,15.35
29157,05yrs,County,18971,55.62,3.54,1.68,0.37,1.47,13.16,12.30,17.70,7.39,6.30
29157,10yrs,County,18971,55.62,3.54,1.68,0.37,1.34,13.02,13.50,16.90,9.56,6.85
29159,05yrs,County,42201,37.78,13.03,7.22,2.95,6.91,15.88,13.50,18.00,16.37,14.00
29159,10yrs,County,42201,37.78,13.03,7.22,2.95,6.71,15.21,15.45,17.35,17.59,15.00
29161,05yrs,County,45156,46.22,9.66,2.04,2.16,5.34,14.09,11.70,29.10,20.62,7.90
29161,10yrs,County,45156,46.22,9.66,2.04,2.16,4.77,13.98,12.15,28.60,19.96,10.05
29163,05yrs,County,18516,54.38,10.79,1.79,7.17,0.54,11.83,15.80,15.60,15.14,9.10
29163,10yrs,County,18516,54.38,10.79,1.79,7.17,0.89,13.87,18.35,13.90,15.41,11.70
29165,05yrs,County,89322,15.81,15.88,4.95,5.76,5.51,10.17,4.20,43.10,6.22,5.80
29165,10yrs,County,89322,15.81,15.88,4.95,5.76,5.83,8.86,4.75,41.15,6.82,7.00
29167,05yrs,County,31137,68.87,5.05,1.98,0.73,1.06,14.69,11.60,19.90,16.46,13.30
29167,10yrs,County,31137,68.87,5.05,1.98,0.73,0.95,14.65,13.35,18.45,18.48,13.45
29169,05yrs,County,52274,44.03,27.57,9.00,10.87,6.22,20.97,7.20,28.30,15.09,10.60
29169,10yrs,County,52274,44.03,27.57,9.00,10.87,5.94,18.47,8.90,24.95,13.97,11.60
29171,05yrs,County,4979,100.00,2.29,0.72,0.18,0.65,11.54,9.60,19.30,16.96,15.70
29171,10yrs,County,4979,100.00,2.29,0.72,0.18,0.87,14.50,11.65,17.25,18.18,15.70
29173,05yrs,County,10167,96.11,3.33,0.96,1.05,0.79,9.61,10.30,14.90,13.68,8.30
29173,10yrs,County,10167,96.11,3.33,0.96,1.05,0.65,10.92,10.95,14.10,11.87,10.40
29175,05yrs,County,25414,45.18,10.03,1.63,5.81,1.33,16.31,13.10,15.10,16.37,9.60
29175,10yrs,County,25414,45.18,10.03,1.63,5.81,0.92,16.57,13.90,14.50,17.53,11.45
29177,05yrs,County,23494,75.22,4.92,1.77,1.13,0.76,11.30,11.90,14.60,11.86,10.30
29177,10yrs,County,23494,75.22,4.92,1.77,1.13,0.90,13.20,11.85,14.25,13.71,9.95
29179,05yrs,County,6696,100.00,3.93,0.96,0.67,0.41,20.97,20.10,13.70,19.44,11.30
29179,10yrs,County,6696,100.00,3.93,0.96,0.67,0.33,22.28,22.45,9.95,21.34,12.85
29181,05yrs,County,14100,100.00,3.81,1.01,0.35,0.74,30.14,20.00,10.20,25.39,14.50
29181,10yrs,County,14100,100.00,3.81,1.01,0.35,0.69,26.98,22.65,10.45,24.94,16.45
29183,05yrs,County,360485,5.83,10.93,2.77,4.11,4.05,7.72,5.30,38.90,5.18,4.50
29183,10yrs,County,360485,5.83,10.93,2.77,4.11,3.93,7.53,5.80,37.20,5.66,5.85
29185,05yrs,County,9805,100.00,4.48,1.73,0.48,1.14,17.53,15.50,13.90,17.12,12.40
29185,10yrs,County,9805,100.00,4.48,1.73,0.48,1.06,18.55,16.80,12.80,19.40,15.00
29186,05yrs,County,18145,76.14,2.97,0.82,0.64,0.94,13.81,10.60,19.70,11.54,4.90
29186,10yrs,County,18145,76.14,2.97,0.82,0.64,1.35,13.78,13.05,16.05,13.09,6.60
29187,05yrs,County,65359,39.76,7.23,1.19,4.22,1.07,21.91,15.30,14.30,15.52,9.00
29187,10yrs,County,65359,39.76,7.23,1.19,4.22,0.90,20.62,17.05,14.45,17.71,11.40
29189,05yrs,County,998954,1.14,31.13,2.51,23.20,7.37,9.41,6.50,43.60,9.74,6.10
29189,10yrs,County,998954,1.14,31.13,2.51,23.20,7.06,9.08,7.00,42.50,10.25,7.85
29195,05yrs,County,23370,45.81,16.81,8.24,5.21,6.19,15.73,16.00,19.40,16.24,8.60
29195,10yrs,County,23370,45.81,16.81,8.24,5.21,6.01,14.75,16.05,18.75,17.67,9.60
29197,05yrs,County,4431,100.00,1.76,0.65,0.02,0.86,15.14,12.40,12.60,17.78,15.10
29197,10yrs,County,4431,100.00,1.76,0.65,0.02,1.13,14.05,13.55,11.50,21.13,17.30
29199,05yrs,County,4843,100.00,1.71,0.68,0.06,0.33,11.66,20.10,14.20,13.31,33.50
29199,10yrs,County,4843,100.00,1.71,0.68,0.06,0.29,11.90,21.50,15.55,13.77,33.40
29201,05yrs,County,39191,41.55,15.14,1.80,11.32,1.23,18.56,15.00,16.30,19.83,11.00
