Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,ZoneName
A9004,Female,Breast,10yrs,379904,853,118.7,109.1,129.1,328720,801,120.7,110.3,132.1,24118,31,111.5,73.8,161.9,19872,,,,,Sussex 3
A9005,Female,Breast,10yrs,323265,657,140.8,129.5,152.9,271763,587,143.5,131.1,156.9,16269,21,112.6,67.8,176.9,12463,,,,,New Castle 3
A9006,Female,Breast,10yrs,299286,444,130.7,118.5,143.9,157190,307,142.9,126.5,160.9,105054,108,114.4,93.3,138.7,24239,17,117.2,68.0,185.9,Kent 3
A9007,Female,Breast,10yrs,352719,587,125.8,115.2,137.0,250541,479,127.8,115.7,141.0,70876,85,115.8,91.7,144.3,25037,,,,,Sussex 2
A9008,Female,Breast,10yrs,302366,452,157.2,141.8,173.8,151630,272,165.2,144.4,188.1,94608,142,157.0,130.3,187.6,30106,17,166.2,82.6,287.7,New Castle 8
A9009,Female,Breast,10yrs,301386,553,172.9,158.3,188.4,215279,418,172.5,155.8,190.5,63009,106,178.3,144.3,218.0,12432,,,,,New Castle 9
A9010,Female,Breast,10yrs,311116,433,117.3,106.2,129.4,162298,293,126.1,110.9,143.1,77523,100,120.4,97.5,147.1,64603,37,90.8,62.1,127.5,New Castle 2
A9011,Female,Breast,10yrs,294940,528,140.1,128.0,153.0,213715,429,143.6,129.8,158.6,56627,79,129.9,101.6,163.6,17452,,,,,Kent 2
A9012,Female,Breast,10yrs,309461,461,130.4,118.5,143.2,130703,255,135.4,118.3,154.5,119705,180,139.9,119.0,163.5,45784,18,72.1,37.4,123.5,New Castle 6
A9013,Female,Breast,10yrs,303062,449,133.8,121.4,147.2,74182,146,154.2,128.8,183.4,203514,292,132.1,117.1,148.6,19182,,,,,New Castle 1
A9014,Female,Breast,10yrs,328076,505,128.4,117.1,140.5,195957,357,125.9,112.3,140.8,71541,102,145.1,116.9,178.0,40002,30,116.7,75.3,172.1,New Castle 5
A9015,Female,Breast,10yrs,368814,747,136.6,126.0,147.8,267151,644,137.5,125.6,150.5,48018,73,149.8,116.4,189.7,46645,16,80.7,41.2,138.6,Sussex 1
Nationwide,Female,Breast,10yrs,1618627686,2431222,126.6,126.4,126.7,1017505754,1822066,131.8,131.6,132.0,216096324,277188,127.5,127.1,128.0,273998030,202778,97.0,96.5,97.4,
Statewide,Female,Breast,10yrs,4833121,8308,135.1,132.1,138.1,3115112,6274,137.2,133.6,140.9,1107008,1559,135.9,129.1,143.0,405257,242,101.8,88.4,116.6,
A9001,Male,Prostate,10yrs,300997,396,130.7,117.6,144.8,229033,301,117.3,103.9,132.0,29942,57,241.6,178.6,323.3,16149,,,,,New Castle 7
A9002,Male,Prostate,10yrs,277146,563,167.1,153.3,182.0,184662,358,142.5,127.8,158.5,67483,170,253.4,215.2,296.6,16275,16,209.2,110.8,348.0,Kent 1
A9003,Male,Prostate,10yrs,311235,573,125.8,115.6,136.8,235213,464,120.2,109.3,132.0,39780,76,164.7,128.9,208.0,14581,,,,,New Castle 4
A9004,Male,Prostate,10yrs,349204,923,110.7,103.2,118.9,299112,836,106.3,98.6,114.8,21844,46,174.9,126.5,237.1,21229,,,,,Sussex 3
A9005,Male,Prostate,10yrs,296499,589,124.3,114.3,135.1,248137,516,121.3,110.9,132.8,14484,29,166.6,110.7,243.0,12955,16,257.4,137.4,427.8,New Castle 3
A9006,Male,Prostate,10yrs,273516,499,172.0,157.1,187.9,150854,256,131.2,115.5,148.7,90613,200,254.8,220.3,293.2,22279,17,170.7,94.1,278.8,Kent 3
A9007,Male,Prostate,10yrs,328279,560,121.1,111.1,131.9,232795,430,110.4,100.0,121.8,60919,116,190.8,155.5,231.7,28791,,,,,Sussex 2
A9008,Male,Prostate,10yrs,286209,425,165.1,148.1,183.4,146146,226,136.4,117.6,157.6,82424,165,263.1,220.1,311.8,32095,16,321.3,144.2,588.5,New Castle 8
A9009,Male,Prostate,10yrs,318928,506,153.5,139.6,168.4,223420,333,129.7,115.3,145.5,72938,144,257.4,212.5,308.5,12648,,,,,New Castle 9
A9010,Male,Prostate,10yrs,289506,348,111.5,100.0,124.0,146119,202,96.6,83.5,111.3,68357,107,174.9,142.1,212.9,68359,22,72.5,42.3,113.5,New Castle 2
A9011,Male,Prostate,10yrs,277978,511,136.1,124.3,148.8,202966,350,115.6,103.6,128.8,50679,131,221.6,183.5,265.6,18635,,,,,Kent 2
A9012,Male,Prostate,10yrs,280976,435,141.3,127.9,155.7,119835,197,110.5,95.3,127.8,101752,196,201.4,172.2,234.1,46593,20,75.4,44.2,120.2,New Castle 6
A9013,Male,Prostate,10yrs,275639,420,147.3,132.9,162.9,75489,110,120.0,97.4,146.6,173804,273,156.0,137.4,176.6,20426,18,153.9,86.2,250.5,New Castle 1
A9014,Male,Prostate,10yrs,304473,414,123.3,111.5,136.1,176862,260,104.1,91.7,117.9,62884,122,220.4,181.0,265.9,42223,,,,,New Castle 5
A9015,Male,Prostate,10yrs,360750,736,125.0,115.9,134.8,251903,619,119.5,110.0,130.0,51032,84,157.1,124.0,196.6,51728,,,,,Sussex 1
Nationwide,Male,Prostate,10yrs,1568586409,2063545,113.9,113.7,114.0,987793885,1486909,107.3,107.1,107.5,198168499,322475,184.5,183.8,185.2,280162978,145468,93.5,93.0,94.0,
Statewide,Male,Prostate,10yrs,4531334,7926,134.0,131.0,137.0,2922546,5471,117.9,114.7,121.1,988935,1917,202.7,193.4,212.4,424965,210,115.2,98.8,133.3,
A9001,Both,Lung,10yrs,626812,282,49.3,43.6,55.6,475652,258,52.6,46.3,59.7,63479,18,43.5,24.4,70.5,36233,,,,,New Castle 7
A9002,Both,Lung,10yrs,573632,485,71.3,65.0,78.1,380682,399,79.5,71.7,87.9,142007,72,53.8,41.7,68.3,31977,,,,,Kent 1
A9003,Both,Lung,10yrs,647660,520,52.5,48.0,57.4,488557,462,54.9,49.9,60.4,87863,42,41.3,29.5,56.4,26233,,,,,New Castle 4
A9004,Both,Lung,10yrs,729108,1089,65.0,60.9,69.5,627832,1019,64.8,60.5,69.6,45961,38,68.9,48.3,95.8,41100,,,,,Sussex 3
A9005,Both,Lung,10yrs,619764,389,38.0,34.2,42.2,519900,359,39.3,35.3,43.9,30753,,,,,25417,,,,,New Castle 3
A9006,Both,Lung,10yrs,572802,457,70.1,63.7,76.9,308043,306,70.7,62.8,79.4,195667,129,75.4,62.8,89.9,46518,,,,,Kent 3
A9007,Both,Lung,10yrs,680998,687,70.5,65.3,76.2,483336,601,74.5,68.5,81.0,131795,69,56.5,43.5,72.1,53828,,,,,Sussex 2
A9008,Both,Lung,10yrs,588575,329,74.3,65.6,83.9,297776,259,91.8,79.7,105.1,177032,59,49.1,36.0,65.0,62201,,,,,New Castle 8
A9009,Both,Lung,10yrs,620314,440,77.4,69.9,85.4,438699,383,84.2,75.5,93.6,135947,47,55.8,39.9,75.4,25080,,,,,New Castle 9
A9010,Both,Lung,10yrs,600621,522,74.0,67.7,80.7,308417,405,83.3,75.1,92.3,145880,93,67.1,53.9,82.6,132963,21,36.1,21.4,56.0,New Castle 2
A9011,Both,Lung,10yrs,572918,604,79.9,73.5,86.7,416682,540,87.8,80.4,95.8,107306,50,46.8,34.2,62.6,36087,,,,,Kent 2
A9012,Both,Lung,10yrs,590436,468,75.0,68.2,82.3,250539,348,93.1,83.3,103.8,221457,109,58.4,47.1,71.5,92376,,,,,New Castle 6
A9013,Both,Lung,10yrs,578701,432,71.4,64.6,78.7,149672,126,65.5,54.2,78.7,377318,298,79.2,70.2,89.1,39609,,,,,New Castle 1
A9014,Both,Lung,10yrs,632549,581,79.3,72.9,86.1,372819,507,91.4,83.4,100.0,134425,62,54.5,40.8,71.1,82225,,,,,New Castle 5
A9015,Both,Lung,10yrs,729564,787,67.4,62.6,72.5,519053,720,70.6,65.3,76.4,99050,56,60.5,45.3,79.1,98374,,,,,Sussex 1
Nationwide,Both,Lung,10yrs,3187214095,2210129,58.9,58.8,59.0,2005299639,1802987,63.1,63.0,63.2,414264823,231389,61.9,61.6,62.1,554161008,97017,30.4,30.2,30.6,
Statewide,Both,Lung,10yrs,9364455,8104,66.2,64.7,67.7,6037658,6718,69.9,68.2,71.6,2095943,1162,60.8,57.2,64.5,830222,111,31.7,25.7,38.6,
A9001,Female,Lung,10yrs,325816,140,44.7,37.5,52.9,246619,125,47.3,39.2,56.6,33537,,,,,20085,,,,,New Castle 7
A9002,Female,Lung,10yrs,296486,238,62.8,54.9,71.5,196020,198,71.5,61.7,82.5,74524,35,46.9,32.2,66.0,15702,,,,,Kent 1
A9003,Female,Lung,10yrs,336426,286,51.9,46.0,58.6,253344,252,53.9,47.3,61.5,48084,25,42.8,27.4,64.3,11653,,,,,New Castle 4
A9004,Female,Lung,10yrs,379904,518,58.8,53.3,64.9,328720,490,60.1,54.2,66.9,24118,,,,,19872,,,,,Sussex 3
A9005,Female,Lung,10yrs,323265,200,35.9,30.9,41.6,271763,189,38.2,32.7,44.5,16269,,,,,12463,,,,,New Castle 3
A9006,Female,Lung,10yrs,299286,256,69.8,61.3,79.1,157190,181,76.7,65.5,89.4,105054,64,66.1,50.6,84.8,24239,,,,,Kent 3
A9007,Female,Lung,10yrs,352719,305,58.2,51.7,65.4,250541,262,61.2,53.8,69.6,70876,38,54.6,38.3,75.5,25037,,,,,Sussex 2
A9008,Female,Lung,10yrs,302366,156,64.9,54.1,77.2,151630,122,81.8,66.4,99.6,94608,29,43.5,27.8,64.1,30106,,,,,New Castle 8
A9009,Female,Lung,10yrs,301386,220,74.6,64.7,85.7,215279,198,84.0,72.3,97.2,63009,18,42.5,24.3,68.0,12432,,,,,New Castle 9
A9010,Female,Lung,10yrs,311116,272,67.4,59.4,76.2,162298,207,73.7,63.4,85.6,77523,55,68.3,51.2,89.3,64603,,,,,New Castle 2
A9011,Female,Lung,10yrs,294940,277,68.1,60.1,76.8,213715,249,75.9,66.6,86.4,56627,22,39.3,24.1,60.4,17452,,,,,Kent 2
A9012,Female,Lung,10yrs,309461,241,68.1,59.6,77.5,130703,174,83.9,71.6,98.1,119705,60,56.1,41.8,73.5,45784,,,,,New Castle 6
A9013,Female,Lung,10yrs,303062,213,61.5,53.4,70.5,74182,59,54.6,41.2,71.6,203514,152,69.1,58.4,81.3,19182,,,,,New Castle 1
A9014,Female,Lung,10yrs,328076,285,67.1,59.5,75.6,195957,252,77.7,68.2,88.4,71541,26,41.5,25.9,62.7,40002,,,,,New Castle 5
A9015,Female,Lung,10yrs,368814,379,59.9,53.8,66.6,267151,352,64.1,57.3,71.9,48018,18,35.4,20.8,56.7,46645,,,,,Sussex 1
Nationwide,Female,Lung,10yrs,1618627686,1057859,51.7,51.6,51.8,1017505754,871597,56.7,56.6,56.8,216096324,104891,48.7,48.4,49.0,273998030,44932,25.0,24.7,25.2,
Statewide,Female,Lung,10yrs,4833121,4005,59.7,57.8,61.6,3115112,3325,63.7,61.5,66.0,1107008,577,53.1,48.7,57.7,405257,52,28.4,20.8,37.6,
A9001,Male,Lung,10yrs,300997,142,54.7,45.7,64.8,229033,133,58.8,49.0,70.2,29942,,,,,16149,,,,,New Castle 7
A9002,Male,Lung,10yrs,277146,247,83.0,72.7,94.4,184662,201,90.5,78.1,104.4,67483,37,64.8,44.7,90.6,16275,,,,,Kent 1
A9003,Male,Lung,10yrs,311235,234,53.6,46.8,61.1,235213,210,56.5,48.9,65.0,39780,17,38.7,22.1,63.4,14581,,,,,New Castle 4
A9004,Male,Lung,10yrs,349204,571,73.1,66.8,80.1,299112,529,71.1,64.7,78.4,21844,23,100.1,61.2,154.6,21229,,,,,Sussex 3
A9005,Male,Lung,10yrs,296499,189,41.2,35.5,47.8,248137,170,41.3,35.2,48.4,14484,,,,,12955,,,,,New Castle 3
A9006,Male,Lung,10yrs,273516,201,72.0,62.3,82.8,150854,125,65.1,54.1,77.9,90613,65,89.7,68.8,114.7,22279,,,,,Kent 3
A9007,Male,Lung,10yrs,328279,382,86.6,77.9,96.0,232795,339,91.7,81.9,102.5,60919,31,59.9,39.2,87.2,28791,,,,,Sussex 2
A9008,Male,Lung,10yrs,286209,173,86.0,71.9,101.9,146146,137,103.3,84.6,124.8,82424,30,56.4,35.4,84.4,32095,,,,,New Castle 8
A9009,Male,Lung,10yrs,318928,220,81.8,70.4,94.3,223420,185,85.1,72.3,99.5,72938,29,74.8,47.2,110.8,12648,,,,,New Castle 9
A9010,Male,Lung,10yrs,289506,250,83.1,73.0,94.2,146119,198,96.9,83.6,112.0,68357,38,63.1,43.6,88.0,68359,,,,,New Castle 2
A9011,Male,Lung,10yrs,277978,327,93.5,83.4,104.5,202966,291,101.2,89.7,114.0,50679,28,56.7,36.5,83.9,18635,,,,,Kent 2
A9012,Male,Lung,10yrs,280976,227,85.6,74.4,97.9,119835,174,107.5,91.7,125.4,101752,49,63.8,45.6,86.4,46593,,,,,New Castle 6
A9013,Male,Lung,10yrs,275639,219,85.9,74.3,98.8,75489,67,79.5,60.6,102.8,173804,146,94.9,79.4,112.5,20426,,,,,New Castle 1
A9014,Male,Lung,10yrs,304473,296,96.9,85.9,108.8,176862,255,111.0,97.5,125.9,62884,36,71.0,48.2,100.3,42223,,,,,New Castle 5
A9015,Male,Lung,10yrs,360750,408,76.9,69.4,85.2,251903,368,79.1,70.8,88.3,51032,38,90.5,62.9,125.5,51728,,,,,Sussex 1
Nationwide,Male,Lung,10yrs,1568586409,1152270,68.4,68.3,68.5,987793885,931390,71.5,71.4,71.6,198168499,126498,81.2,80.7,81.7,280162978,52085,38.1,37.7,38.4,
Statewide,Male,Lung,10yrs,4531334,4099,74.8,72.5,77.2,2922546,3393,78.0,75.3,80.7,988935,585,71.9,65.8,78.3,424965,59,35.9,26.7,46.9,
A9001,Both,CRC,10yrs,626812,174,29.6,25.2,34.5,475652,149,30.2,25.4,35.7,63479,19,40.9,23.3,65.9,36233,,,,,New Castle 7
A9002,Both,CRC,10yrs,573632,230,35.6,31.1,40.7,380682,175,37.5,32.0,43.7,142007,46,35.4,25.7,47.6,31977,,,,,Kent 1
A9003,Both,CRC,10yrs,647660,314,33.9,30.1,38.1,488557,255,32.4,28.3,37.0,87863,39,42.2,29.7,58.3,26233,,,,,New Castle 4
A9004,Both,CRC,10yrs,729108,482,33.4,30.0,37.1,627832,455,33.6,30.0,37.5,45961,17,30.8,17.6,50.5,41100,,,,,Sussex 3
A9005,Both,CRC,10yrs,619764,282,29.8,26.2,33.8,519900,251,29.6,25.8,33.8,30753,,,,,25417,,,,,New Castle 3
A9006,Both,CRC,10yrs,572802,252,40.0,35.1,45.4,308043,174,42.1,35.8,49.1,195667,66,40.6,31.2,51.8,46518,,,,,Kent 3
A9007,Both,CRC,10yrs,680998,315,34.4,30.6,38.6,483336,262,35.2,30.8,40.0,131795,45,36.0,25.9,48.5,53828,,,,,Sussex 2
A9008,Both,CRC,10yrs,588575,230,48.6,41.6,56.3,297776,152,53.9,44.7,64.4,177032,61,43.8,32.0,58.2,62201,,,,,New Castle 8
A9009,Both,CRC,10yrs,620314,254,44.6,39.0,50.7,438699,200,45.7,39.3,52.8,135947,43,42.9,29.8,59.4,25080,,,,,New Castle 9
A9010,Both,CRC,10yrs,600621,266,37.7,33.2,42.6,308417,171,36.0,30.5,42.3,145880,68,49.2,38.0,62.6,132963,21,32.3,18.5,51.3,New Castle 2
A9011,Both,CRC,10yrs,572918,338,48.2,43.1,53.8,416682,275,48.8,43.1,55.1,107306,47,46.5,33.5,62.8,36087,,,,,Kent 2
A9012,Both,CRC,10yrs,590436,243,39.1,34.2,44.4,250539,146,40.7,34.2,48.2,221457,66,32.2,24.4,41.7,92376,25,51.3,30.4,80.0,New Castle 6
A9013,Both,CRC,10yrs,578701,241,40.1,35.1,45.7,149672,64,34.4,26.2,44.6,377318,171,46.2,39.4,53.9,39609,,,,,New Castle 1
A9014,Both,CRC,10yrs,632549,285,39.6,35.0,44.6,372819,226,42.7,37.1,49.0,134425,41,33.6,23.5,46.5,82225,,,,,New Castle 5
A9015,Both,CRC,10yrs,729564,426,40.6,36.6,45.0,519053,366,41.1,36.6,46.2,99050,47,48.7,35.4,65.3,98374,,,,,Sussex 1
Nationwide,Both,CRC,10yrs,3187214095,1422003,38.8,38.7,38.9,2005299639,1050043,38.6,38.5,38.7,414264823,171956,45.4,45.2,45.6,554161008,124598,34.5,34.3,34.7,
Statewide,Both,CRC,10yrs,9364455,4348,37.3,36.2,38.5,6037658,3332,37.5,36.2,38.8,2095943,790,40.7,37.8,43.8,830222,141,34.4,28.5,41.2,
A9001,Female,CRC,10yrs,325816,88,28.4,22.7,35.2,246619,77,29.7,23.3,37.5,33537,,,,,20085,,,,,New Castle 7
A9002,Female,CRC,10yrs,296486,109,31.5,25.7,38.2,196020,81,33.1,26.1,41.6,74524,24,33.3,21.1,49.8,15702,,,,,Kent 1
A9003,Female,CRC,10yrs,336426,156,30.0,25.3,35.6,253344,127,28.8,23.7,35.0,48084,20,37.7,22.6,59.3,11653,,,,,New Castle 4
A9004,Female,CRC,10yrs,379904,232,30.2,25.9,35.2,328720,217,30.2,25.7,35.7,24118,,,,,19872,,,,,Sussex 3
A9005,Female,CRC,10yrs,323265,139,25.6,21.3,30.8,271763,128,26.7,21.9,32.5,16269,,,,,12463,,,,,New Castle 3
A9006,Female,CRC,10yrs,299286,114,32.7,26.8,39.5,157190,81,36.0,28.1,45.5,105054,29,31.7,21.0,45.9,24239,,,,,Kent 3
A9007,Female,CRC,10yrs,352719,138,27.8,23.2,33.1,250541,112,27.7,22.6,33.9,70876,21,30.1,18.4,46.4,25037,,,,,Sussex 2
A9008,Female,CRC,10yrs,302366,111,43.9,35.2,54.0,151630,74,52.5,40.2,67.3,94608,32,35.4,22.8,52.3,30106,,,,,New Castle 8
A9009,Female,CRC,10yrs,301386,115,38.8,31.8,46.9,215279,89,39.9,31.8,49.4,63009,24,41.1,25.4,62.9,12432,,,,,New Castle 9
A9010,Female,CRC,10yrs,311116,151,38.6,32.5,45.6,162298,97,37.2,29.5,46.5,77523,39,50.1,35.4,68.7,64603,,,,,New Castle 2
A9011,Female,CRC,10yrs,294940,170,45.7,38.9,53.3,213715,141,46.9,39.3,55.8,56627,21,41.6,25.2,64.4,17452,,,,,Kent 2
A9012,Female,CRC,10yrs,309461,114,32.7,26.9,39.5,130703,68,34.1,26.3,44.0,119705,29,22.7,14.9,33.4,45784,,,,,New Castle 6
A9013,Female,CRC,10yrs,303062,115,33.8,27.8,40.8,74182,24,26.3,16.2,40.6,203514,88,39.7,31.6,49.1,19182,,,,,New Castle 1
A9014,Female,CRC,10yrs,328076,139,34.7,29.0,41.2,195957,110,38.2,30.9,46.8,71541,22,29.1,17.7,45.3,40002,,,,,New Castle 5
A9015,Female,CRC,10yrs,368814,183,31.7,26.9,37.1,267151,159,33.0,27.4,39.6,48018,20,36.3,21.9,56.9,46645,,,,,Sussex 1
Nationwide,Female,CRC,10yrs,1618627686,676173,34.0,33.9,34.1,1017505754,498728,33.9,33.8,34.0,216096324,85087,39.6,39.3,39.8,273998030,56999,29.2,29.0,29.5,
Statewide,Female,CRC,10yrs,4833121,2082,32.7,31.3,34.2,3115112,1590,33.0,31.3,34.8,1107008,390,34.7,31.3,38.5,405257,65,33.3,25.2,43.1,
A9001,Male,CRC,10yrs,300997,86,30.7,24.3,38.3,229033,72,30.6,23.7,39.0,29942,,,,,16149,,,,,New Castle 7
A9002,Male,CRC,10yrs,277146,121,40.2,33.2,48.2,184662,94,42.0,33.7,51.8,67483,22,37.9,23.2,58.3,16275,,,,,Kent 1
A9003,Male,CRC,10yrs,311235,158,38.5,32.6,45.4,235213,128,36.7,30.3,44.1,39780,19,49.3,29.0,78.4,14581,,,,,New Castle 4
A9004,Male,CRC,10yrs,349204,250,37.1,32.0,43.0,299112,238,37.5,32.2,43.9,21844,,,,,21229,,,,,Sussex 3
A9005,Male,CRC,10yrs,296499,143,34.6,28.9,41.2,248137,123,33.0,27.0,39.9,14484,,,,,12955,,,,,New Castle 3
A9006,Male,CRC,10yrs,273516,138,50.7,42.5,60.0,150854,93,50.1,40.3,61.7,90613,37,54.4,38.0,75.3,22279,,,,,Kent 3
A9007,Male,CRC,10yrs,328279,177,42.4,36.2,49.5,232795,150,44.1,37.0,52.4,60919,24,42.4,26.6,64.3,28791,,,,,Sussex 2
A9008,Male,CRC,10yrs,286209,119,53.3,42.7,65.6,146146,78,54.8,41.7,70.6,82424,29,57.4,35.8,85.9,32095,,,,,New Castle 8
A9009,Male,CRC,10yrs,318928,139,51.1,42.2,61.2,223420,111,52.6,42.4,64.4,72938,19,45.6,25.6,73.6,12648,,,,,New Castle 9
A9010,Male,CRC,10yrs,289506,115,37.6,31.0,45.3,146119,74,36.2,28.2,45.9,68357,29,50.9,33.4,74.0,68359,,,,,New Castle 2
A9011,Male,CRC,10yrs,277978,168,50.9,43.3,59.5,202966,134,50.6,42.2,60.3,50679,26,50.1,31.8,75.1,18635,,,,,Kent 2
A9012,Male,CRC,10yrs,280976,129,47.7,39.6,57.0,119835,78,48.8,38.4,61.5,101752,37,46.5,31.6,65.5,46593,,,,,New Castle 6
A9013,Male,CRC,10yrs,275639,126,48.4,39.9,58.1,75489,40,41.8,29.3,58.6,173804,83,56.4,44.3,70.6,20426,,,,,New Castle 1
A9014,Male,CRC,10yrs,304473,146,46.6,39.2,55.0,176862,116,49.6,40.8,59.9,62884,19,39.6,22.8,63.2,42223,,,,,New Castle 5
A9015,Male,CRC,10yrs,360750,243,50.7,44.2,58.0,251903,207,50.3,43.1,58.5,51032,27,64.4,41.5,94.8,51728,,,,,Sussex 1
Nationwide,Male,CRC,10yrs,1568586409,745830,44.5,44.4,44.6,987793885,551315,44.0,43.9,44.1,198168499,86869,53.7,53.3,54.1,280162978,67599,41.2,40.9,41.5,
Statewide,Male,CRC,10yrs,4531334,2266,42.9,41.1,44.8,2922546,1742,42.8,40.7,44.9,988935,400,49.6,44.6,55.0,424965,76,35.2,26.9,45.0,
A9001,Both,Mela,10yrs,626812,181,30.1,25.7,35.0,475652,175,35.3,30.1,41.3,63479,,,,,36233,,,,,New Castle 7
A9002,Both,Mela,10yrs,573632,186,28.3,24.3,32.8,380682,180,38.6,33.0,44.9,142007,,,,,31977,,,,,Kent 1
A9003,Both,Mela,10yrs,647660,252,28.7,25.1,32.7,488557,249,35.5,30.8,40.7,87863,,,,,26233,,,,,New Castle 4
A9004,Both,Mela,10yrs,729108,608,45.8,41.5,50.6,627832,571,48.1,43.1,53.6,45961,,,,,41100,,,,,Sussex 3
A9005,Both,Mela,10yrs,619764,367,40.6,36.2,45.3,519900,358,45.3,40.3,50.8,30753,,,,,25417,,,,,New Castle 3
A9006,Both,Mela,10yrs,572802,147,24.3,20.4,28.7,308043,136,37.2,30.8,44.4,195667,,,,,46518,,,,,Kent 3
A9007,Both,Mela,10yrs,680998,240,27.0,23.5,30.8,483336,230,32.2,27.9,37.0,131795,,,,,53828,,,,,Sussex 2
A9008,Both,Mela,10yrs,588575,158,31.9,26.5,38.0,297776,154,51.5,42.9,61.3,177032,,,,,62201,,,,,New Castle 8
A9009,Both,Mela,10yrs,620314,238,38.9,33.8,44.4,438699,228,48.7,42.3,55.8,135947,,,,,25080,,,,,New Castle 9
A9010,Both,Mela,10yrs,600621,128,18.1,15.1,21.7,308417,121,25.4,20.9,30.8,145880,,,,,132963,,,,,New Castle 2
A9011,Both,Mela,10yrs,572918,192,28.3,24.3,32.8,416682,186,34.7,29.6,40.4,107306,,,,,36087,,,,,Kent 2
A9012,Both,Mela,10yrs,590436,103,16.8,13.7,20.5,250539,100,29.6,23.8,36.4,221457,,,,,92376,,,,,New Castle 6
A9013,Both,Mela,10yrs,578701,50,7.9,5.8,10.5,149672,43,21.5,15.4,29.5,377318,,,,,39609,,,,,New Castle 1
A9014,Both,Mela,10yrs,632549,176,25.1,21.5,29.2,372819,168,33.6,28.5,39.5,134425,,,,,82225,,,,,New Castle 5
A9015,Both,Mela,10yrs,729564,389,36.2,32.5,40.3,519053,375,42.8,38.1,48.1,99050,,,,,98374,,,,,Sussex 1
Nationwide,Both,Mela,10yrs,3187214095,790991,22.0,22.0,22.1,2005299639,733995,28.4,28.4,28.5,414264823,3638,1.0,1.0,1.0,554161008,17715,4.6,4.6,4.7,
Statewide,Both,Mela,10yrs,9364455,3418,29.7,28.7,30.7,6037658,3277,38.4,37.0,39.8,2095943,27,1.3,0.9,2.0,830222,33,8.1,5.3,11.7,
A9001,Female,Mela,10yrs,325816,75,23.9,18.6,30.3,246619,72,29.0,22.3,37.2,33537,,,,,20085,,,,,New Castle 7
A9002,Female,Mela,10yrs,296486,74,22.0,17.2,27.8,196020,72,30.8,23.9,39.2,74524,,,,,15702,,,,,Kent 1
A9003,Female,Mela,10yrs,336426,101,23.2,18.6,28.7,253344,99,29.8,23.6,37.3,48084,,,,,11653,,,,,New Castle 4
A9004,Female,Mela,10yrs,379904,222,34.4,28.9,40.8,328720,204,35.5,29.3,42.9,24118,,,,,19872,,,,,Sussex 3
A9005,Female,Mela,10yrs,323265,152,33.2,27.6,39.7,271763,148,37.2,30.7,44.8,16269,,,,,12463,,,,,New Castle 3
A9006,Female,Mela,10yrs,299286,67,20.8,16.0,26.7,157190,62,34.0,25.5,44.3,105054,,,,,24239,,,,,Kent 3
A9007,Female,Mela,10yrs,352719,77,16.8,13.1,21.3,250541,74,20.9,16.0,26.8,70876,,,,,25037,,,,,Sussex 2
A9008,Female,Mela,10yrs,302366,56,19.6,14.4,26.1,151630,54,34.3,25.1,45.9,94608,,,,,30106,,,,,New Castle 8
A9009,Female,Mela,10yrs,301386,111,35.0,28.6,42.5,215279,103,42.7,34.6,52.1,63009,,,,,12432,,,,,New Castle 9
A9010,Female,Mela,10yrs,311116,48,12.2,8.9,16.4,162298,46,18.0,12.8,25.0,77523,,,,,64603,,,,,New Castle 2
A9011,Female,Mela,10yrs,294940,79,23.4,18.3,29.5,213715,76,29.3,22.7,37.3,56627,,,,,17452,,,,,Kent 2
A9012,Female,Mela,10yrs,309461,47,13.0,9.5,17.4,130703,46,26.1,18.7,35.7,119705,,,,,45784,,,,,New Castle 6
A9013,Female,Mela,10yrs,303062,26,7.3,4.7,10.8,74182,21,20.1,12.3,31.9,203514,,,,,19182,,,,,New Castle 1
A9014,Female,Mela,10yrs,328076,76,19.6,15.3,24.7,195957,71,25.7,19.7,33.1,71541,,,,,40002,,,,,New Castle 5
A9015,Female,Mela,10yrs,368814,142,27.4,22.7,32.9,267151,134,33.6,27.2,41.2,48018,,,,,46645,,,,,Sussex 1
Nationwide,Female,Mela,10yrs,1618627686,324386,17.5,17.4,17.5,1017505754,296179,23.3,23.2,23.4,216096324,1961,0.9,0.9,1.0,273998030,9628,4.5,4.4,4.6,
Statewide,Female,Mela,10yrs,4833121,1355,22.7,21.4,24.0,3115112,1284,30.4,28.6,32.3,1107008,17,1.5,0.9,2.5,405257,,,,,
A9001,Male,Mela,10yrs,300997,106,38.2,31.0,46.7,229033,103,43.7,35.4,53.6,29942,,,,,16149,,,,,New Castle 7
A9002,Male,Mela,10yrs,277146,112,36.4,29.7,44.0,184662,108,48.0,39.0,58.4,67483,,,,,16275,,,,,Kent 1
A9003,Male,Mela,10yrs,311235,151,36.2,30.4,42.7,235213,150,43.4,36.4,51.6,39780,,,,,14581,,,,,New Castle 4
A9004,Male,Mela,10yrs,349204,386,59.0,52.1,66.7,299112,367,62.4,54.5,71.3,21844,,,,,21229,,,,,Sussex 3
A9005,Male,Mela,10yrs,296499,215,50.6,43.8,58.3,248137,210,56.3,48.5,65.2,14484,,,,,12955,,,,,New Castle 3
